,sEth,dEth,typEth,Source,Destination,proto,type,code,sPort,dPort,priority,action
206,*,9e:8d:de:80:29:28,0x800,h.canaryis.com,*,6,*,*,80,*,*,forward
207,*,*,0x800,*,*,17,*,*,53,*,*,forward
208,*,9e:8d:de:80:29:28,0x800,o.canaryis.com,*,6,*,*,443,*,*,forward
209,*,9e:8d:de:80:29:28,0x800,h.canaryis.com,*,6,*,*,443,*,*,forward
210,*,9e:8d:de:80:29:28,0x800,ipv4.connman.net,*,6,*,*,80,*,*,forward
211,*,*,0x800,*,*,17,*,*,67,*,*,forward
212,*,9e:8d:de:80:29:28,0x800,v.canaryis.com,*,6,*,*,443,*,*,forward
213,*,9e:8d:de:80:29:28,0x800,m.canaryis.com,*,6,*,*,443,*,*,forward
214,*,*,0x888e,*,*,*,*,*,*,*,*,forward
215,*,*,0x0006,*,*,*,*,*,*,*,*,forward
216,*,*,0x888e,*,*,*,*,*,*,*,*,forward
217,*,*,0x0006,*,*,*,*,*,*,*,*,forward
218,9e:8d:de:80:29:28,*,0x800,*,ad.doubleclick.net,6,*,*,*,443,*,forward
219,9e:8d:de:80:29:28,*,*,*,224.0.0.251/32,2,*,*,*,*,*,forward
220,9e:8d:de:80:29:28,*,0x800,*,pagead2.googlesyndication.com,17,*,*,*,443,*,forward
221,9e:8d:de:80:29:28,*,0x800,*,www.googleapis.com,17,*,*,*,443,*,forward
222,9e:8d:de:80:29:28,*,0x800,*,ajax.googleapis.com,6,*,*,*,443,*,forward
223,*,*,0x800,*,*,17,*,*,*,53,*,forward
224,9e:8d:de:80:29:28,*,0x800,*,storage.googleapis.com,6,*,*,*,443,*,forward
225,9e:8d:de:80:29:28,*,0x800,*,googleads.g.doubleclick.net,6,*,*,*,443,*,forward
226,9e:8d:de:80:29:28,*,0x800,*,tools.google.com,17,*,*,*,443,*,forward
227,*,*,0x800,*,*,6,*,*,8009,*,*,forward
228,9e:8d:de:80:29:28,*,0x800,*,r1---sn-55goxu-ntqe.googlevideo.com,17,*,*,*,443,*,forward
229,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,17,*,*,*,53,*,forward
230,9e:8d:de:80:29:28,*,0x800,*,android.clients.google.com,6,*,*,*,80,*,forward
231,9e:8d:de:80:29:28,*,0x800,*,yt3.ggpht.com,6,*,*,*,443,*,forward
232,9e:8d:de:80:29:28,*,0x800,*,www.youtube-nocookie.com,17,*,*,*,443,*,forward
233,9e:8d:de:80:29:28,*,0x800,*,ssl.gstatic.com,6,*,*,*,443,*,forward
234,9e:8d:de:80:29:28,*,0x800,*,google.com,6,*,*,*,443,*,forward
235,9e:8d:de:80:29:28,*,0x800,*,tools.google.com,6,*,*,*,443,*,forward
236,9e:8d:de:80:29:28,*,0x800,*,ad.doubleclick.net,17,*,*,*,443,*,forward
237,9e:8d:de:80:29:28,*,0x800,*,ssl.gstatic.com,6,*,*,*,80,*,forward
238,9e:8d:de:80:29:28,*,0x800,*,time.google.com,17,*,*,*,123,*,forward
239,9e:8d:de:80:29:28,*,0x800,*,8.8.8.8/32,1,8,0,*,*,*,forward
240,9e:8d:de:80:29:28,*,0x800,*,fonts.googleapis.com,6,*,*,*,443,*,forward
241,9e:8d:de:80:29:28,*,0x800,*,clients4.google.com,6,*,*,*,80,*,forward
242,9e:8d:de:80:29:28,*,0x800,*,lh6.googleusercontent.com,17,*,*,*,443,*,forward
243,9e:8d:de:80:29:28,*,0x800,*,www.gstatic.com,6,*,*,*,443,*,forward
244,9e:8d:de:80:29:28,*,0x800,*,lh5.googleusercontent.com,6,*,*,*,443,*,forward
245,9e:8d:de:80:29:28,*,*,*,239.255.255.250/32,2,*,*,*,*,*,forward
246,9e:8d:de:80:29:28,*,0x800,*,connectivitycheck.gstatic.com,17,*,*,*,443,*,forward
247,9e:8d:de:80:29:28,*,0x800,*,android.clients.google.com,17,*,*,*,443,*,forward
248,9e:8d:de:80:29:28,*,0x800,*,i.ytimg.com,6,*,*,*,443,*,forward
249,9e:8d:de:80:29:28,*,0x800,*,ade.googlesyndication.com,6,*,*,*,443,*,forward
250,9e:8d:de:80:29:28,*,0x800,*,clients2.google.com,6,*,*,*,443,*,forward
251,9e:8d:de:80:29:28,*,0x800,*,fonts.googleapis.com,17,*,*,*,443,*,forward
252,9e:8d:de:80:29:28,*,0x800,*,clients4.google.com,6,*,*,*,443,*,forward
253,9e:8d:de:80:29:28,*,0x800,*,fonts.gstatic.com,6,*,*,*,443,*,forward
254,9e:8d:de:80:29:28,*,0x800,*,lh3.googleusercontent.com,6,*,*,*,443,*,forward
255,9e:8d:de:80:29:28,*,0x800,*,fonts.gstatic.com,17,*,*,*,443,*,forward
256,9e:8d:de:80:29:28,*,0x800,*,www.youtube.com,6,*,*,*,80,*,forward
257,9e:8d:de:80:29:28,*,0x800,*,clients1.google.com,17,*,*,*,443,*,forward
258,9e:8d:de:80:29:28,*,0x800,*,www.gstatic.com,6,*,*,*,80,*,forward
259,9e:8d:de:80:29:28,*,0x800,*,google.com,6,*,*,*,80,*,forward
260,9e:8d:de:80:29:28,*,0x800,*,r2---sn-ntq7yned.googlevideo.com,17,*,*,*,443,*,forward
261,9e:8d:de:80:29:28,*,0x800,*,clients2.google.com,6,*,*,*,80,*,forward
